Estación,Longitud,Latitud,Cluster
1,-99.168051,19.433296,1
2,-99.171695,19.431386,1
3,-99.158668,19.431655,1
4,-99.171713,19.428309,1
5,-99.169363,19.42972,1
6,-99.166959,19.430922,1
7,-99.175166,19.425468,1
8,-99.158317,19.431141,1
9,-99.169918,19.428009,1
10,-99.154752,19.433321,1
11,-99.163593,19.430992,1
12,-99.161597,19.432313,1
13,-99.175558,19.423778,1
14,-99.173261,19.424768,1
15,-99.171567,19.425477,1
16,-99.169164,19.42653,1
17,-99.167125,19.427501,1
18,-99.165543,19.42836,1
19,-99.161675,19.43001,1
20,-99.160206,19.430964,1
21,-99.175124,19.423317,1
22,-99.172575,19.424375,1
23,-99.170414,19.425483,1
24,-99.168992,19.426102,1
25,-99.166946,19.426944,1
26,-99.154726,19.432685,1
27,-99.162614,19.429115,1
28,-99.172494,19.423542,1
29,-99.149939,19.434913,1
30,-99.164323,19.426442,1
31,-99.161193,19.427838,1
32,-99.169922,19.422705,1
33,-99.166431,19.424234,1
34,-99.163503,19.424539,1
35,-99.163123,19.424572,1
36,-99.175778,19.419725,1
37,-99.172676,19.420419,1
38,-99.171407,19.420801,1
39,-99.167153,19.422484,1
40,-99.164297,19.42223,1
41,-99.150137,19.435637,1
42,-99.168238,19.420472,1
43,-99.146063,19.435228,1
44,-99.174761,19.418057,1
45,-99.172127,19.418649,1
46,-99.169732,19.419214,1
47,-99.166299,19.419515,1
48,-99.146557,19.433686,1
49,-99.175704,19.416712,1
50,-99.173648,19.416938,1
51,-99.168248,19.417995,1
52,-99.142039,19.436236,1
53,-99.178433,19.414773,1
54,-99.170825,19.416215,1
55,-99.138064,19.434356,1
56,-99.165702,19.416959,1
57,-99.17495,19.414903,1
58,-99.171793,19.41568,1
59,-99.166661,19.415121,1
60,-99.177123,19.414191,1
61,-99.169525,19.413742,1
62,-99.175202,19.413322,1
63,-99.171531,19.413681,1
64,-99.166986,19.412877,1
65,-99.139906,19.436142,1
66,-99.178666,19.411402,1
67,-99.17588,19.411797,1
68,-99.17406,19.411556,1
69,-99.168111,19.410733,1
70,-99.169718,19.411272,1
71,-99.171351,19.411423,1
72,-99.179544,19.409893,1
73,-99.175612,19.410245,1
74,-99.172831,19.410343,1
75,-99.17669,19.408722,1
76,-99.170462,19.409439,1
77,-99.178321,19.406765,1
78,-99.177382,19.407503,1
79,-99.174427,19.407534,1
80,-99.172118,19.407307,1
81,-99.168475,19.408006,1
82,-99.143686,19.433115,1
83,-99.172117,19.406296,1
84,-99.169587,19.40702,1
85,-99.162508,19.43425,1
86,-99.159077,19.432378,1
87,-99.13974,19.43182,1
88,-99.135303,19.433815,2
89,-99.133989,19.434946,2
90,-99.132446,19.431698,2
91,-99.137571,19.4374,2
92,-99.131497,19.436531,2
93,-99.134811,19.436741,2
94,-99.130918,19.433766,2
95,-99.133698,19.430722,2
96,-99.14248,19.430625,1
97,-99.132759,19.429189,2
98,-99.14861,19.430267,2
99,-99.14591,19.42995,1
100,-99.1338,19.428485,2
101,-99.135895,19.428366,2
102,-99.13949,19.42821,2
103,-99.165217,19.441669,1
104,-99.137116,19.427059,2
105,-99.135014,19.426755,2
106,-99.133537,19.42649,1
107,-99.149971,19.427329,1
108,-99.149533,19.427305,1
